timeNow,imuPosX,imuPosY,uwbPosX,uwbPosY,syncPosX,syncPosY,lightHousePosX,lightHousePosY,lightHousePosZ
1702591814.580481100,0,0,13.7177,-2.14818,3.37727,0.784615,0.5855,0.1081,0.6544
1702591814.593583643,0,0,13.7177,-2.14818,3.37727,0.784615,0.5855,0.1081,0.6544
1702591814.607537853,0,0,13.7177,-2.14818,3.37727,0.784615,0.5855,0.1081,0.6544
1702591814.620570979,0,0,13.7177,-2.14818,3.37727,0.784615,0.5855,0.1081,0.6544
1702591814.634581189,0,0,13.7177,-2.14818,3.37727,0.784615,0.5855,0.1082,0.6544
1702591814.648445274,0,0,13.7177,-2.14818,3.37727,0.784615,0.5855,0.1082,0.6544
1702591814.661559484,0,0,7.34271,3.59792,3.46888,0.849607,0.5855,0.1082,0.6544
1702591814.675568818,0,0,7.34271,3.59792,3.46888,0.849607,0.5855,0.1082,0.6544
1702591814.689317695,0,0,7.34271,3.59792,3.46888,0.849607,0.5855,0.1082,0.6544
1702591814.702505404,0,0,7.34271,3.59792,3.46888,0.849607,0.5855,0.1082,0.6544
1702591814.716569281,0,0,7.34271,3.59792,3.46888,0.849607,0.5855,0.1082,0.6544
1702591814.730336241,0,0,7.34271,3.59792,3.46888,0.849607,0.5855,0.1082,0.6544
1702591814.743549325,0,0,7.34271,3.59792,3.46888,0.849607,0.5855,0.108,0.6543
1702591814.757452493,0,0,9.51562,0.333594,3.61118,0.837463,0.5855,0.108,0.6543
1702591814.771507911,0,0,9.51562,0.333594,3.61118,0.837463,0.5855,0.108,0.6543
1702591814.785494496,0,0,9.51562,0.333594,3.61118,0.837463,0.5855,0.108,0.6543
1702591814.798447997,0,0,9.51562,0.333594,3.61118,0.837463,0.5855,0.108,0.6543
1702591814.812471915,0,0,9.51562,0.333594,3.61118,0.837463,0.5855,0.108,0.6543
1702591814.912760926,0,0,11.5844,1.88125,3.80212,0.862458,0.5855,0.1081,0.6542
1702591814.929453302,0,0,11.5844,1.88125,3.80212,0.862458,0.5855,0.1081,0.6542
1702591814.943309220,0,0,11.5844,1.88125,3.80212,0.862458,0.5854,0.1081,0.6543
1702591814.964334889,0,0,12.625,-0.903906,4.01686,0.819465,0.5854,0.1081,0.6543
1702591814.979562807,0,0,12.625,-0.903906,4.01686,0.819465,0.5854,0.1081,0.6543
1702591814.994678142,0,0,12.625,-0.903906,4.01686,0.819465,0.5854,0.1081,0.6543
1702591815.010817227,0,0,12.625,-0.903906,4.01686,0.819465,0.5854,0.1081,0.6543
1702591815.026687979,0,0,12.625,-0.903906,4.01686,0.819465,0.5854,0.1081,0.6543
1702591815.052580106,0,0,11.5615,0.788542,4.20332,0.818701,0.5875,0.1077,0.6532
1702591815.068433066,0,0,11.5615,0.788542,4.20332,0.818701,0.5875,0.1077,0.6532
1702591815.084464818,0,0,11.5615,0.788542,4.20332,0.818701,0.5875,0.1077,0.6532
1702591815.100509403,0,0,11.5615,0.788542,4.20332,0.818701,0.5875,0.1077,0.6532
1702591815.117470696,0,0,11.5615,0.788542,4.20332,0.818701,0.5875,0.1077,0.6532
1702591815.133590823,0,0,11.5615,0.788542,4.20332,0.818701,0.5875,0.1077,0.6532
1702591815.161229450,0,0,11.5385,4.12161,4.3872,0.901502,0.5972,0.1081,0.6503
1702591815.176590952,0,0,11.5385,4.12161,4.3872,0.901502,0.5972,0.1081,0.6503
1702591815.192623287,0,0,11.5385,4.12161,4.3872,0.901502,0.5972,0.1081,0.6503
1702591815.208450580,0,0,11.5385,4.12161,4.3872,0.901502,0.5972,0.1081,0.6503
1702591815.224631665,0,0,11.5385,4.12161,4.3872,0.901502,0.5972,0.1081,0.6503
1702591815.240724958,0,0,11.5385,4.12161,4.3872,0.901502,0.5972,0.1081,0.6503
1702591815.264718336,0.999995,0.000695973,12.65,4.65,5.57172,0.997416,0.6106,0.1082,0.6461
1702591815.280900004,0.999995,0.000695973,12.65,4.65,5.57172,0.997416,0.6106,0.1082,0.6461
1702591815.296779506,1.99999,0.002247,12.65,4.65,6.57172,0.998967,0.6106,0.1082,0.6461
1702591815.312605049,1.99999,0.002247,12.65,4.65,6.57172,0.998967,0.6106,0.1082,0.6461
1702591815.328588092,1.99999,0.002247,12.65,4.65,6.57172,0.998967,0.6106,0.1082,0.6461
1702591815.354514637,2.99999,-0.00113718,15.7969,4.35313,7.78332,1.08196,0.6289,0.1083,0.64
1702591815.370456263,2.99999,-0.00113718,15.7969,4.35313,7.78332,1.08196,0.6289,0.1083,0.64
1702591815.386436681,2.99999,-0.00113718,15.7969,4.35313,7.78332,1.08196,0.6289,0.1083,0.64
1702591815.402700891,2.99999,-0.00113718,15.7969,4.35313,7.78332,1.08196,0.6289,0.1083,0.64
1702591815.418466935,4.5721,-0.00245017,15.7969,4.35313,9.35544,1.08065,0.6289,0.1083,0.64
1702591815.434465728,4.5721,-0.00245017,15.7969,4.35313,9.35544,1.08065,0.6289,0.1083,0.64
1702591815.458497022,4.99998,-0.000966044,14.7292,4.77474,9.91207,1.17826,0.6582,0.1088,0.6307
1702591815.474581857,4.99998,-0.000966044,14.7292,4.77474,9.91207,1.17826,0.6582,0.1088,0.6307
1702591815.490586484,5.99998,0.00192397,14.7292,4.77474,10.9121,1.18115,0.6582,0.1088,0.6307
1702591815.506626110,5.99998,0.00192397,14.7292,4.77474,10.9121,1.18115,0.6582,0.1088,0.6307
1702591815.522658153,5.99998,0.00192397,14.7292,4.77474,10.9121,1.18115,0.6582,0.1088,0.6307
1702591815.538722572,7.99998,0.00105904,14.7292,4.77474,12.9121,1.18028,0.6582,0.1088,0.6307
1702591815.564343449,7.99998,0.00105904,15.7031,7.42188,12.9855,1.34456,0.6828,0.1093,0.6236
1702591815.580472034,8.99998,0.00176824,15.7031,7.42188,13.9855,1.34527,0.6828,0.1093,0.6236
1702591815.596325286,8.99998,0.00176824,15.7031,7.42188,13.9855,1.34527,0.6828,0.1093,0.6236
1702591815.613402079,9.99997,0.00715874,15.7031,7.42188,14.9855,1.35066,0.6828,0.1093,0.6236
1702591815.628466372,9.99997,0.00715874,15.7031,7.42188,14.9855,1.35066,0.6828,0.1093,0.6236
1702591815.653557583,11,0.00701341,16.8667,8.50833,16.0089,1.54087,0.6999,0.1092,0.6192
1702591815.668626251,11,0.00701341,16.8667,8.50833,16.0089,1.54087,0.7088,0.1092,0.6167
1702591815.685703045,11,0.00701341,16.8667,8.50833,16.0089,1.54087,0.7088,0.1092,0.6167
1702591815.702391047,11,0.00701341,16.8667,8.50833,16.0089,1.54087,0.7088,0.1092,0.6167
1702591815.718460131,11,0.00701341,16.8667,8.50833,16.0089,1.54087,0.7088,0.1092,0.6167
1702591815.734456883,13,0.00766649,16.8667,8.50833,18.0089,1.54152,0.7088,0.1092,0.6167
1702591815.757477844,13,0.00766649,20.9583,9.60964,18.0881,1.75817,0.736,0.109,0.6087
1702591815.773719304,14,0.0114774,20.9583,9.60964,19.0881,1.76198,0.736,0.109,0.6087
1702591815.789444514,14,0.0114774,20.9583,9.60964,19.0881,1.76198,0.736,0.109,0.6087
1702591815.805571640,14.9999,0.0112553,20.9583,9.60964,20.0881,1.76176,0.736,0.109,0.6087
1702591815.821508017,14.9999,0.0112553,20.9583,9.60964,20.0881,1.76176,0.736,0.109,0.6087
1702591815.838324935,14.9999,0.0112553,20.9583,9.60964,20.0881,1.76176,0.736,0.109,0.6087
1702591815.862460354,16.5424,0.0185889,14.6125,11.2375,21.4404,2.02566,0.7639,0.1096,0.6023
1702591815.878837148,16.5424,0.0185889,14.6125,11.2375,21.4404,2.02566,0.7639,0.1096,0.6023
1702591815.895355691,16.9999,0.0183028,14.6125,11.2375,21.8979,2.02538,0.7639,0.1096,0.6023
1702591815.912545943,16.9999,0.0183028,14.6125,11.2375,21.8979,2.02538,0.7639,0.1096,0.6023
1702591815.928314319,18.9999,0.0213934,14.6125,11.2375,23.8979,2.02847,0.7639,0.1096,0.6023
1702591815.944630446,18.9999,0.0213934,14.6125,11.2375,23.8979,2.02847,0.7639,0.1096,0.6023
1702591815.969226698,20.0011,-0.977441,14.6125,11.2375,24.618,1.30861,0.8019,0.1108,0.593
1702591815.984617367,20.0011,-0.977441,14.6125,11.2375,24.618,1.30861,0.8019,0.1108,0.593
1702591816.000478201,21.0011,-0.970312,14.6125,11.2375,25.6179,1.31574,0.8019,0.1108,0.593
1702591816.017350536,21.0011,-0.970312,14.6125,11.2375,25.6179,1.31574,0.8019,0.1108,0.593
